ID,libelle_zone_d_emploi,code_region,region,code_zone_d_emploi,zone_d_emploi,date,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_brut,masse_salariale_cvs
13424,9304 Cannes,93,Provence-Alpes-Côte d'Azur,9304,Cannes,031998,87972,90159,448734637,469904898
13478,9306 Cavaillon,93,Provence-Alpes-Côte d'Azur,9306,Cavaillon,031998,20918,21578,85980743,91035555
13507,9307 Digne-les-Bains,93,Provence-Alpes-Côte d'Azur,9307,Digne-les-Bains,031998,14316,14180,59264530,61096114
13632,9311 Manosque,93,Provence-Alpes-Côte d'Azur,9311,Manosque,031998,15632,16060,78627072,83365608
13863,9318 Toulon,93,Provence-Alpes-Côte d'Azur,9318,Toulon,031998,91755,94391,388807131,413893668
13928,0053 Avignon,93,Provence-Alpes-Côte d'Azur,53,Avignon,031998,57349,58217,254921337,267437967
14026,9401 Ajaccio,94,Corse,9401,Ajaccio,031998,18370,19255,78383178,84732974
14057,9402 Bastia,94,Corse,9402,Bastia,031998,16904,17509,70317626,75035912
14400,0201 Le Centre-Atlantique,2,Martinique,201,Le Centre-Atlantique,031998,3272,3247,13266930,13667317
14435,0202 Le Centre agglomération,2,Martinique,202,Le Centre agglomération,031998,38035,38182,180911209,188944225
14492,0204 Le Nord-Caraibe,2,Martinique,204,Le Nord-Caraibe,031998,1706,1724,6893662,7268164
14521,0205 Le Sud,2,Martinique,205,Le Sud,031998,2808,2756,10297146,10293901
14644,0303 Savanes,3,Guyane,303,Savanes,031998,3524,3549,29089961,29336921
14745,0403 Le Nord,4,La Réunion,403,Le Nord,031998,36616,37382,173813012,182806340
15149,1112 Roissy,11,Île-de-France,1112,Roissy,031998,209563,211658,1192379439,1279284164
15176,1113 Saclay,11,Île-de-France,1113,Saclay,031998,134214,135092,860745578,888708879
15209,1114 Seine-Yvelinoise,11,Île-de-France,1114,Seine-Yvelinoise,031998,146214,147198,834488035,860936563
15266,2401 Blois,24,Centre-Val de Loire,2401,Blois,031998,41822,42391,197207135,207361540
15300,2402 Bourges,24,Centre-Val de Loire,2402,Bourges,031998,47115,47581,212199491,221094756
15332,2403 Chartres,24,Centre-Val de Loire,2403,Chartres,031998,48657,49241,234694660,244298658
15480,2408 Loches,24,Centre-Val de Loire,2408,Loches,031998,8040,8164,30847355,32230723
15541,2410 Orléans,24,Centre-Val de Loire,2410,Orléans,031998,114155,115063,567742056,588361396
